Species,burrow,keel,reference,COI,COIII,12S,16S,28S,Rhodopsin,Pax-6,cytb,notes,16s,12a,COIII,Pax-6,cytb
Abdopus aculeatus,sub-surface burrowing,absent,"Huffard 2006,2007",LT604981,AJ628213,HM104234,GQ900717,,HM104287,HM104265,AJ628177,(juveniles only),,,,,
Abdopus guangdongensis,unknown,unknown,,,,,,,,,,,,,,,
Adelieledone polymorpha,unknown,present,Barratt 2008,GU073471,,EF102215,AY545110,,AY545175,EU071405,EU148457,,,,,,
Amphioctopus aegina,non-burrowing,absent,,JN790684,AJ628214,AB191125,HQ846042,,HM104289,HM104267,OM283063,"formerly Octopus, probably doesn't burrow",,,,,
Amphioctopus arenicola,burying,absent,"Huffard 2005, Huffard/Hochberg 2005",,,,GQ900708,,,,,,,,,,
Amphioctopus burryi,sub-surface burrowing,absent,"Hanlon 1950, Guerrero 2018",MG778074,,,MG010532,,MG778108,,,formerly Octopus burryi,,,,,
Amphioctopus exannulatus,unknown,absent,"Norman 2003, Guerrero 2018",LC121538,AJ628223,,LC121036,,,,AJ628187,"formerly Octopus exannulatus, probably no burrowing",,,,,
Amphioctopus fangsiao,burying,present,"Norman 2003, Guerrero 2018, ",AB430517,AB573186,AB191118,LC121038,,,,MG999661,"formerly Octopus, ",,,,,
Amphioctopus kagoshimensis,unknown,absent,"Norman 2003, Guerrero 2018",AB430520,AJ628226,,HQ846032,,,,AJ628190,formerly Octopus,,,,,
Amphioctopus marginatus,burying,absent,"Norman 2003, Guerrero 2018",KJ168052,AJ628232,,HQ846048,,,,AJ628195,formerly Octopus,,,,,
Amphioctopus membranaceus,unknown,absent,H.T Cheng,KM360528,,,LC121045,,,,FJ360563,Ayman S. Ahmed,,,,,
Amphioctopus ovulum,unknown,absent,"Teng et al, Fang 2018",AB430523,AB573197,,HQ846063,,,,,,,,,,
Amphioctopus rex,unknown,absent,"Teng et al,",LC121547,,,LC121047,,,,,,,,,,
Amphitretus pelagicus,non-burrowing,absent,Hoyles W.E  1885,AF377965,,,,,,,,pelagic species,,,,,
Argonauta argo,non-burrowing,absent,Heeger et al,AB191273,GU288523,GU288527,GU288519,,,,,"pelagic species, argonaut",,,,,
Argonauta hians,non-burrowing,absent,Sukhsangchan 2008,,,,,,,,,"pelagic species, argonaut",,,,,
Argonauta nodosa,non-burrowing,absent,,AF000028,AJ628206,GU288526,GU288518,AY557551,AY545166,AY545142,AJ628170,pelagic,,,,,
Bathypolypus arcticus,unknown,present,Norman 2003,AF000029,KP693813,,DQ280044,AY557554,KP693815,,,,,,,,
Bathypolypus valdiviae,unknown,absent,Norman 2003,AF377969,,AY616943,,,,AY617017,,,,,,,
Bolitaena pygmaea,non-burrowing,absent,,GU145071,,AY545094,,,AY545180,AY545156,,pelagic,,,,,
Callistoctopus furvus,sub-surface burrowing,absent,Jesus 2021,MH662557,MH662559,,MH662561,,,,,,,,,,
Callistoctopus macropus,non-burrowing,absent,Jesus 2021,,,,AJ616310,,MN946381,,FJ360553,formerly Octopus,,,,,
Callistoctopus minor,sub-surface burrowing,absent,"Jesus 2021, Kim et al",AB191275,AB573200,AB191124,MF631941,MH041612,,,,,,,,,
Callistoctopus ornatus,non-burrowing,absent,Jesus 2021,MK593419,AB573209,AY616877,AJ252753,,AY616926,AY616941,,,,,,,
Cirroctopus glacialis,unknown,absent,Verccione 1998,AF377962,,,AF487304,,,,,cirrate octo,,,,,
Cirrothauma murrayi,unknown,absent,Verccione 1998,AF000034,,,AF487283,AY557545,,,,cirrate octo,,,,,
Cistopus chinensis,sub-surface burrowing,absent,Kumar,HQ846111,,,HQ846022,,,,,"cistopus use sacs, confirm keel",,,,,
Cistopus indicus,sub-surface burrowing,absent,"Kumar, Norman 2003",KF489436,AJ628208,,JX456258,,HM104291,HM104271,AJ628172,confirm keel,,,,,
Cistopus taiwanicus,sub-surface burrowing,absent,Kumar,KF489437,,,HQ846074,,,,,confirm keel,,,,,
Eledone massyae,unknown,present,Perez,KF844046,,,KF843998,,,,,,,,,,
Eledone moschata,non-burrowing,absent,"Boletsky 1996, Norman 2003",MH293105,KP693814,,AJ390326,,,,FJ360566,Juvelines dig ,,,,,
Eledone cirrhosa,burying,present,"Guerra 2006, Norman 2003",KM517894,X97949,AY616946,MG999648,AJ310245,HM104292,AY617020,EF423153,,,,,,
Enteroctopus dofleini,non-burrowing,absent,Norman 2003,KT213445,X83103,AY545088,AB191107,,KT213464,AY545150,KT213456,,,,,,
